CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 20080418 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 14.023
Integrated O3 until EOF (DU)     : 168.176
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 0.0     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.1     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.2     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.3      979.280   294.770    82.704     1.430    14.603     0.131     8.454    -6.508   296.530   329.980     0.01391
 0.4      968.070   293.810    85.368     1.450    14.978     0.264     8.499    -6.405   296.540   329.540     0.01367
 0.5      956.960   292.930    88.000     1.468    15.336     0.398     8.900    -6.954   296.630   329.300     0.01349
 0.6      945.940   292.010    87.815     1.470    15.540     0.534     9.636    -7.528   296.670   327.900     0.01285
 0.7      934.950   291.380    82.421     1.479    15.818     0.671    10.302    -7.542   297.020   325.600     0.01172
 0.8      924.180   290.860    79.000     1.517    16.417     0.811    11.039    -7.317   297.470   324.370     0.01099
 0.9      913.440   290.090    78.473     1.540    16.865     0.954    11.282    -7.327   297.670   323.500     0.01052
