CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 20100611 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 11.000
Integrated O3 until EOF (DU)     : 195.929
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, CCE64B
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 0.0     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.1     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.2     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.3      990.420   289.270    61.919     2.825    28.527     0.263     3.946     4.469   290.060   307.420     0.00724
 0.4      978.880   288.280    65.171     2.818    28.791     0.526     3.342     3.584   290.040   307.450     0.00723
 0.5      967.310   287.340    67.420     2.800    28.946     0.789     3.305     4.044   290.070   307.270     0.00712
 0.6      955.870   286.330    70.000     2.790    29.188     1.051     2.882     4.734   290.030   307.000     0.00700
 0.7      944.590   285.440    73.027     2.769    29.319     1.312     3.234     5.181   290.110   307.060     0.00697
 0.8      933.410   284.460    76.000     2.715    29.091     1.569     2.633     5.013   290.100   306.870     0.00687
 0.9      922.270   283.520    79.872     2.706    29.337     1.826     2.061     4.508   290.130   306.940     0.00686
