CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 20100525 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 120.410
Integrated O3 until EOF (DU)     : 28.829
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 0.0     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.1     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.2     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.3      991.680   291.650    71.250     2.388    24.075     0.220    -7.583     1.474   292.350   315.610     0.00971
 0.4      980.100   290.650    75.000     2.380    24.283     0.441    -8.477     1.957   292.320   315.640     0.00970
 0.5      968.700   289.710    77.806     2.376    24.529     0.662    -9.172     0.382   292.340   315.460     0.00958
 0.6      957.400   288.650    83.000     2.380    24.859     0.884    -9.265     0.811   292.250   315.630     0.00965
 0.7      946.220   287.770    85.947     2.350    24.841     1.104    -9.626     0.224   292.330   315.540     0.00955
 0.8      935.090   286.780    89.837     2.330    24.917     1.322    -8.788     0.705   292.320   315.410     0.00947
 0.9      924.080   285.910    91.000     2.320    25.106     1.541    -7.567     0.444   292.410   314.840     0.00916
