CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 20130309 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 7.000
Integrated O3 until EOF (DU)     : 222.908
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, CCE64B
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 0.0     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.1     1003.800   295.550    62.000     1.910    19.027     0.174  9000.000  9000.000   295.230   320.720     0.01068
 0.2      992.380   294.640    66.077     1.910    19.247     0.349  9000.000  9000.000   295.280   321.340     0.01087
 0.3      980.980   293.540    71.000     1.929    19.665     0.526  9000.000  9000.000   295.150   321.670     0.01103
 0.4      969.600   292.600    76.000     1.880    19.389     0.699  9000.000  9000.000   295.180   322.340     0.01126
 0.5      958.420   291.570    77.182     1.860    19.407     0.870  9000.000  9000.000   295.120   321.340     0.01083
 0.6      947.330   290.470    83.000     1.860    19.634     1.043  9000.000  9000.000   294.990   321.680     0.01099
 0.7      936.300   289.550    86.000     1.850    19.759     1.215  9000.000  9000.000   295.030   321.480     0.01085
 0.8      925.410   288.650    90.000     1.839    19.871     1.386  9000.000  9000.000   295.090   321.610     0.01084
 0.9      914.560   287.710    94.417     1.840    20.119     1.558  9000.000  9000.000   295.120   321.680     0.01082
