CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 20090912 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 23.078
Integrated O3 until EOF (DU)     : 144.066
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 0.0     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.1     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.2     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.3      992.110   291.620     1.345     2.206    22.238     0.204    -1.065    -1.732   292.280   292.720     0.00018
 0.4      980.450   290.680    41.846     2.224    22.688     0.410    -1.312    -1.868   292.320   305.270     0.00538
 0.5      969.130   289.750    83.889     2.193    22.630     0.614    -1.439    -2.146   292.350   317.310     0.01035
 0.6      957.760   288.810    91.966     2.186    22.819     0.817    -1.784    -2.023   292.380   318.540     0.01080
 0.7      946.570   287.960    94.222     2.160    22.819     1.019    -1.890    -1.895   292.500   318.250     0.01060
 0.8      935.540   287.300    96.533     2.160    23.088     1.222    -1.270    -1.661   292.800   318.450     0.01052
