CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 20140810 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 6.200
Integrated O3 until EOF (DU)     : 255.815
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, CCE64B
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 0.0     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.1     1002.100   292.880    75.000     3.073    30.670     0.283  9000.000  9000.000   292.710   318.840     0.01094
 0.2      990.520   291.920    78.000     3.107    31.372     0.569  9000.000  9000.000   292.720   318.670     0.01083
 0.3      979.110   290.960    81.000     3.051    31.162     0.852  9000.000  9000.000   292.720   318.450     0.01070
 0.4      967.640   289.990    86.000     3.068    31.704     1.136  9000.000  9000.000   292.720   318.790     0.01080
 0.5      956.370   289.120    87.000     3.027    31.650     1.418  9000.000  9000.000   292.820   318.120     0.01045
 0.6      945.170   288.220    89.000     2.977    31.494     1.696  9000.000  9000.000   292.880   317.670     0.01020
 0.7      934.110   287.700    82.000     2.970    31.795     1.974  9000.000  9000.000   293.340   315.770     0.00919
 0.8      923.100   287.240    75.000     2.960    32.066     2.252  9000.000  9000.000   293.860   314.080     0.00826
 0.9      912.290   286.550    72.750     2.919    31.994     2.526  9000.000  9000.000   294.140   313.170     0.00774
